game_month,game_day,game_week,game_time,game_vs,seat_group,seat_block,seat_col,seat_no,seat_set_no,ticket_price,check_ticket
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,2,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,3,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,4,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,5,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,6,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,7,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,8,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,9,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,10,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,11,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,12,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,13,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,14,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,15,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,16,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,17,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,18,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,19,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,20,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,21,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,22,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,23,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,24,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,25,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,1,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,2,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,3,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,4,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,5,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,6,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,7,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,8,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,9,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,10,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,11,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,12,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,13,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,14,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,15,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,16,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,17,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,18,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,19,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,20,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,21,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,22,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,23,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,24,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,25,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,1,26,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,1,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,2,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,3,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,4,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,5,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,6,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,7,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,8,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,9,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,10,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,11,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,12,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,13,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,14,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,15,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,16,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,17,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,18,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,19,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,20,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,21,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,22,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,23,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,24,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,25,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,2,26,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,1,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,2,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,3,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,4,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,5,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,6,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,7,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,8,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,9,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,10,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,11,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,12,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,13,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,14,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,23,3,15,0,40000,0
